name,beta,itr,sse,obj,item,model_score,human_score,that:: +T -C,+C -N,whether:: +T -C,if:: +T -C
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.isl.lg.01,0.11390984266250426,0.2239563498593211,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.isl.lg.02,0.11390984266250426,0.0797302337529029,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.isl.lg.03,0.11390984266250426,0.1296010613893335,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.isl.lg.04,0.11390984266250426,0.2827586182994973,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.isl.lg.05,0.11390984266250426,0.1368205321641689,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.isl.lg.06,0.11390984266250426,0.1093356717314899,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.isl.lg.07,0.11390984266250426,0.1082513285252819,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.isl.lg.08,0.11390984266250426,0.1539539702036064,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.isl.sh.01,1.0,0.5437539860951065,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.isl.sh.02,1.0,0.5326440552738915,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.isl.sh.03,1.0,0.2773178610664685,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.isl.sh.04,1.0,0.2626070592854607,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.isl.sh.05,1.0,0.4856823389006227,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.isl.sh.06,1.0,0.5724239898340434,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.isl.sh.07,1.0,0.2334536327591912,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.isl.sh.08,1.0,0.5830475112340401,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.non.lg.01,0.5449324679830083,0.5330959583510178,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.non.lg.02,0.5449324679830083,0.3755308337292264,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.non.lg.03,0.5449324679830083,0.5117726637374566,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.non.lg.04,0.5449324679830083,0.4232429609328989,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.non.lg.05,0.5449324679830083,0.2322632111943574,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.non.lg.06,0.5449324679830083,0.5008808626932835,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.non.lg.07,0.5449324679830083,0.5286821571131772,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.non.lg.08,0.5449324679830083,0.4584541195930418,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.non.sh.01,1.0,0.6679243757891036,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.non.sh.02,1.0,0.8384064902274244,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.non.sh.03,1.0,0.797645821679951,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.non.sh.04,1.0,0.5581436007774211,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.non.sh.05,1.0,0.437232730493036,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
model,0,0,0.0659080970211038,0.06590809702110596,RC.adj.non.sh.06,1.0,0.8278915139273524,0.45506753201699174,0.6302766578018588,0.7280430476201322,0.8860901473374957
