name,beta,itr,sse,obj,item,model_score,human_score,+C -N,e:: +T +wh -C,whether:: +T -C,C-emb-decl:: +T -C,-D -wh,that:: +T +wh -C,C-mat-decl:: +T -C,that:: +T -C,if:: +T -C
model,0,0,0.0277152631482041,0.02771526314822051,RC.adj.isl.lg.01,0.11392054678951606,0.2239563498593211,0.6302731106322933,0.737850613874715,0.6314020608789908,0.04787598559890471,1.0,0.26250660209666704,0.49704901958039005,0.2614397053580449,0.8456048527631019
model,0,0,0.0277152631482041,0.02771526314822051,RC.adj.isl.lg.02,0.11392054678951606,0.0797302337529029,0.6302731106322933,0.737850613874715,0.6314020608789908,0.04787598559890471,1.0,0.26250660209666704,0.49704901958039005,0.2614397053580449,0.8456048527631019
model,0,0,0.0277152631482041,0.02771526314822051,RC.adj.isl.lg.03,0.11392054678951606,0.1296010613893335,0.6302731106322933,0.737850613874715,0.6314020608789908,0.04787598559890471,1.0,0.26250660209666704,0.49704901958039005,0.2614397053580449,0.8456048527631019
model,0,0,0.0277152631482041,0.02771526314822051,RC.adj.isl.lg.04,0.11392054678951606,0.2827586182994973,0.6302731106322933,0.737850613874715,0.6314020608789908,0.04787598559890471,1.0,0.26250660209666704,0.49704901958039005,0.2614397053580449,0.8456048527631019
model,0,0,0.0277152631482041,0.02771526314822051,RC.adj.isl.lg.05,0.11392054678951606,0.1368205321641689,0.6302731106322933,0.737850613874715,0.6314020608789908,0.04787598559890471,1.0,0.26250660209666704,0.49704901958039005,0.2614397053580449,0.8456048527631019
model,0,0,0.0277152631482041,0.02771526314822051,RC.adj.isl.lg.06,0.11392054678951606,0.1093356717314899,0.6302731106322933,0.737850613874715,0.6314020608789908,0.04787598559890471,1.0,0.26250660209666704,0.49704901958039005,0.2614397053580449,0.8456048527631019
model,0,0,0.0277152631482041,0.02771526314822051,RC.adj.isl.lg.07,0.11392054678951606,0.1082513285252819,0.6302731106322933,0.737850613874715,0.6314020608789908,0.04787598559890471,1.0,0.26250660209666704,0.49704901958039005,0.2614397053580449,0.8456048527631019
model,0,0,0.0277152631482041,0.02771526314822051,RC.adj.isl.lg.08,0.11392054678951606,0.1539539702036064,0.6302731106322933,0.737850613874715,0.6314020608789908,0.04787598559890471,1.0,0.26250660209666704,0.49704901958039005,0.2614397053580449,0.8456048527631019
model,0,0,0.0277152631482041,0.02771526314822051,RC.adj.isl.sh.01,0.737850613874715,0.5437539860951065,0.6302731106322933,0.737850613874715,0.6314020608789908,0.04787598559890471,1.0,0.26250660209666704,0.49704901958039005,0.2614397053580449,0.8456048527631019
model,0,0,0.0277152631482041,0.02771526314822051,RC.adj.isl.sh.02,0.737850613874715,0.5326440552738915,0.6302731106322933,0.737850613874715,0.6314020608789908,0.04787598559890471,1.0,0.26250660209666704,0.49704901958039005,0.2614397053580449,0.8456048527631019
