name,beta,itr,sse,obj,item,model_score,human_score,whether:: +T -C,e:: +T -C,that:: +T -C,+C -N,if:: +T -C
model,0,0,0.0659080968201901,0.06590809682017183,RC.adj.isl.lg.01,0.11389894676822021,0.2239563498593211,0.7280299312791253,0.6856109618868726,0.4550341753919956,0.6302605420160725,0.8861010432317797
model,0,0,0.0659080968201901,0.06590809682017183,RC.adj.isl.lg.02,0.11389894676822021,0.0797302337529029,0.7280299312791253,0.6856109618868726,0.4550341753919956,0.6302605420160725,0.8861010432317797
model,0,0,0.0659080968201901,0.06590809682017183,RC.adj.isl.lg.03,0.11389894676822021,0.1296010613893335,0.7280299312791253,0.6856109618868726,0.4550341753919956,0.6302605420160725,0.8861010432317797
model,0,0,0.0659080968201901,0.06590809682017183,RC.adj.isl.lg.04,0.11389894676822021,0.2827586182994973,0.7280299312791253,0.6856109618868726,0.4550341753919956,0.6302605420160725,0.8861010432317797
model,0,0,0.0659080968201901,0.06590809682017183,RC.adj.isl.lg.05,0.11389894676822021,0.1368205321641689,0.7280299312791253,0.6856109618868726,0.4550341753919956,0.6302605420160725,0.8861010432317797
model,0,0,0.0659080968201901,0.06590809682017183,RC.adj.isl.lg.06,0.11389894676822021,0.1093356717314899,0.7280299312791253,0.6856109618868726,0.4550341753919956,0.6302605420160725,0.8861010432317797
model,0,0,0.0659080968201901,0.06590809682017183,RC.adj.isl.lg.07,0.11389894676822021,0.1082513285252819,0.7280299312791253,0.6856109618868726,0.4550341753919956,0.6302605420160725,0.8861010432317797
model,0,0,0.0659080968201901,0.06590809682017183,RC.adj.isl.lg.08,0.11389894676822021,0.1539539702036064,0.7280299312791253,0.6856109618868726,0.4550341753919956,0.6302605420160725,0.8861010432317797
model,0,0,0.0659080968201901,0.06590809682017183,RC.adj.isl.sh.01,1.0,0.5437539860951065,0.7280299312791253,0.6856109618868726,0.4550341753919956,0.6302605420160725,0.8861010432317797
model,0,0,0.0659080968201901,0.06590809682017183,RC.adj.isl.sh.02,1.0,0.5326440552738915,0.7280299312791253,0.6856109618868726,0.4550341753919956,0.6302605420160725,0.8861010432317797
model,0,0,0.0659080968201901,0.06590809682017183,RC.adj.isl.sh.03,1.0,0.2773178610664685,0.7280299312791253,0.6856109618868726,0.4550341753919956,0.6302605420160725,0.8861010432317797
