name,beta,itr,sse,obj,item,model_score,human_score,e:: +T +wh -C,-D -wh,that:: +T -C,+C -N,whether:: +T -C,e:: +T -C,that:: +T +wh -C,if:: +T -C
model,0,0,0.027715263280689333,0.027715263280716267,RC.adj.isl.lg.01,0.11392815548513056,0.2239563498593211,0.7378280168972864,1.0,0.26144381490684954,0.6302597350489083,0.6314185846811272,0.9654137241458678,0.26257653908833267,0.8455898119151108
model,0,0,0.027715263280689333,0.027715263280716267,RC.adj.isl.lg.02,0.11392815548513056,0.0797302337529029,0.7378280168972864,1.0,0.26144381490684954,0.6302597350489083,0.6314185846811272,0.9654137241458678,0.26257653908833267,0.8455898119151108
model,0,0,0.027715263280689333,0.027715263280716267,RC.adj.isl.lg.03,0.11392815548513056,0.1296010613893335,0.7378280168972864,1.0,0.26144381490684954,0.6302597350489083,0.6314185846811272,0.9654137241458678,0.26257653908833267,0.8455898119151108
model,0,0,0.027715263280689333,0.027715263280716267,RC.adj.isl.lg.04,0.11392815548513056,0.2827586182994973,0.7378280168972864,1.0,0.26144381490684954,0.6302597350489083,0.6314185846811272,0.9654137241458678,0.26257653908833267,0.8455898119151108
model,0,0,0.027715263280689333,0.027715263280716267,RC.adj.isl.lg.05,0.11392815548513056,0.1368205321641689,0.7378280168972864,1.0,0.26144381490684954,0.6302597350489083,0.6314185846811272,0.9654137241458678,0.26257653908833267,0.8455898119151108
model,0,0,0.027715263280689333,0.027715263280716267,RC.adj.isl.lg.06,0.11392815548513056,0.1093356717314899,0.7378280168972864,1.0,0.26144381490684954,0.6302597350489083,0.6314185846811272,0.9654137241458678,0.26257653908833267,0.8455898119151108
model,0,0,0.027715263280689333,0.027715263280716267,RC.adj.isl.lg.07,0.11392815548513056,0.1082513285252819,0.7378280168972864,1.0,0.26144381490684954,0.6302597350489083,0.6314185846811272,0.9654137241458678,0.26257653908833267,0.8455898119151108
model,0,0,0.027715263280689333,0.027715263280716267,RC.adj.isl.lg.08,0.11392815548513056,0.1539539702036064,0.7378280168972864,1.0,0.26144381490684954,0.6302597350489083,0.6314185846811272,0.9654137241458678,0.26257653908833267,0.8455898119151108
model,0,0,0.027715263280689333,0.027715263280716267,RC.adj.isl.sh.01,0.7378280168972864,0.5437539860951065,0.7378280168972864,1.0,0.26144381490684954,0.6302597350489083,0.6314185846811272,0.9654137241458678,0.26257653908833267,0.8455898119151108
model,0,0,0.027715263280689333,0.027715263280716267,RC.adj.isl.sh.02,0.7378280168972864,0.5326440552738915,0.7378280168972864,1.0,0.26144381490684954,0.6302597350489083,0.6314185846811272,0.9654137241458678,0.26257653908833267,0.8455898119151108
model,0,0,0.027715263280689333,0.027715263280716267,RC.adj.isl.sh.03,0.7378280168972864,0.2773178610664685,0.7378280168972864,1.0,0.26144381490684954,0.6302597350489083,0.6314185846811272,0.9654137241458678,0.26257653908833267,0.8455898119151108
model,0,0,0.027715263280689333,0.027715263280716267,RC.adj.isl.sh.04,0.26257653908833267,0.2626070592854607,0.7378280168972864,1.0,0.26144381490684954,0.6302597350489083,0.6314185846811272,0.9654137241458678,0.26257653908833267,0.8455898119151108
