name,beta,itr,sse,obj,item,model_score,human_score,whether:: +T -C,+C -N,if:: +T -C,that:: +T -C
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.isl.lg.01,0.1139135540522509,0.2239563498593211,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.isl.lg.02,0.1139135540522509,0.0797302337529029,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.isl.lg.03,0.1139135540522509,0.1296010613893335,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.isl.lg.04,0.1139135540522509,0.2827586182994973,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.isl.lg.05,0.1139135540522509,0.1368205321641689,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.isl.lg.06,0.1139135540522509,0.1093356717314899,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.isl.lg.07,0.1139135540522509,0.1082513285252819,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.isl.lg.08,0.1139135540522509,0.1539539702036064,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.isl.sh.01,1.0,0.5437539860951065,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.isl.sh.02,1.0,0.5326440552738915,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.isl.sh.03,1.0,0.2773178610664685,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.isl.sh.04,1.0,0.2626070592854607,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.isl.sh.05,1.0,0.4856823389006227,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.isl.sh.06,1.0,0.5724239898340434,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.isl.sh.07,1.0,0.2334536327591912,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.isl.sh.08,1.0,0.5830475112340401,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.non.lg.01,0.5449646485986526,0.5330959583510178,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.non.lg.02,0.5449646485986526,0.3755308337292264,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.non.lg.03,0.5449646485986526,0.5117726637374566,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.non.lg.04,0.5449646485986526,0.4232429609328989,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.non.lg.05,0.5449646485986526,0.2322632111943574,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.non.lg.06,0.5449646485986526,0.5008808626932835,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.non.lg.07,0.5449646485986526,0.5286821571131772,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.non.lg.08,0.5449646485986526,0.4584541195930418,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.non.sh.01,1.0,0.6679243757891036,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.non.sh.02,1.0,0.8384064902274244,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.non.sh.03,1.0,0.797645821679951,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.non.sh.04,1.0,0.5581436007774211,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.non.sh.05,1.0,0.437232730493036,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.non.sh.06,1.0,0.8278915139273524,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.non.sh.07,1.0,0.876736329384642,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.adj.non.sh.08,1.0,0.8261679315724338,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.isl.lg.01,0.20148842776092984,0.2255604624743815,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.isl.lg.02,0.20148842776092984,0.2116690994303287,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.isl.lg.03,0.20148842776092984,0.3292640826742343,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.isl.lg.04,0.20148842776092984,0.0813667566404372,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.isl.lg.05,0.20148842776092984,0.2249992757405105,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.isl.lg.06,0.5449646485986526,0.2433578727626724,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.isl.lg.07,0.20148842776092984,0.3931873586176032,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.isl.lg.08,0.20148842776092984,0.087995401332339,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.isl.sh.01,1.0,0.6468984760804992,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.isl.sh.02,1.0,0.8074363456857753,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.isl.sh.03,1.0,0.7505423535838042,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.isl.sh.04,1.0,0.5947649351951334,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.isl.sh.05,1.0,0.7692503592141218,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.isl.sh.06,1.0,0.8747701125603914,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.isl.sh.07,1.0,0.86749703566641,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.isl.sh.08,1.0,0.7411575688193971,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.non.lg.01,0.5449646485986526,0.3991414712389041,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.non.lg.02,0.5449646485986526,0.5467648954483056,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.non.lg.03,0.5449646485986526,0.4367914641215015,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.non.lg.04,0.5449646485986526,0.3140151162730623,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.non.lg.05,0.5449646485986526,0.4564007401299561,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.non.lg.06,0.5449646485986526,0.6282622559084012,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.non.lg.07,0.5449646485986526,0.4459423106648629,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.non.lg.08,0.5449646485986526,0.1170450156626895,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.non.sh.01,1.0,0.5727359624805758,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.non.sh.02,1.0,0.6770228218466181,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.non.sh.03,1.0,0.8475756387457918,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.non.sh.04,1.0,0.6827541937463385,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.non.sh.05,1.0,0.7441323021316569,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.non.sh.06,1.0,0.8500569843833309,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.non.sh.07,1.0,0.857654438880124,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,RC.np.non.sh.08,1.0,0.7976638404929862,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
model,0,0,0.0659080967979637,0.06590809679797995,WH.adj.isl.lg.01,0.1139135540522509,0.144422381476962,0.728041484093509,0.6302724804644732,0.8860864459477491,0.4550353414013474
