name,beta,itr,sse,obj,item,model_score,human_score,-D -wh,e:: +T +wh -C,if:: +T -C,+C -N,that:: +T +wh -C,whether:: +T -C,that:: +T -C
model,0,0,0.0277152631247439,0.027715263124756816,RC.adj.isl.lg.01,0.11391594610578479,0.2239563498593211,1.0,0.7378289679988903,0.8456065686676101,0.6302665833469896,0.2627377255720784,0.6314612791486152,0.26139458818145483
model,0,0,0.0277152631247439,0.027715263124756816,RC.adj.isl.lg.02,0.11391594610578479,0.0797302337529029,1.0,0.7378289679988903,0.8456065686676101,0.6302665833469896,0.2627377255720784,0.6314612791486152,0.26139458818145483
model,0,0,0.0277152631247439,0.027715263124756816,RC.adj.isl.lg.03,0.11391594610578479,0.1296010613893335,1.0,0.7378289679988903,0.8456065686676101,0.6302665833469896,0.2627377255720784,0.6314612791486152,0.26139458818145483
model,0,0,0.0277152631247439,0.027715263124756816,RC.adj.isl.lg.04,0.11391594610578479,0.2827586182994973,1.0,0.7378289679988903,0.8456065686676101,0.6302665833469896,0.2627377255720784,0.6314612791486152,0.26139458818145483
model,0,0,0.0277152631247439,0.027715263124756816,RC.adj.isl.lg.05,0.11391594610578479,0.1368205321641689,1.0,0.7378289679988903,0.8456065686676101,0.6302665833469896,0.2627377255720784,0.6314612791486152,0.26139458818145483
model,0,0,0.0277152631247439,0.027715263124756816,RC.adj.isl.lg.06,0.11391594610578479,0.1093356717314899,1.0,0.7378289679988903,0.8456065686676101,0.6302665833469896,0.2627377255720784,0.6314612791486152,0.26139458818145483
model,0,0,0.0277152631247439,0.027715263124756816,RC.adj.isl.lg.07,0.11391594610578479,0.1082513285252819,1.0,0.7378289679988903,0.8456065686676101,0.6302665833469896,0.2627377255720784,0.6314612791486152,0.26139458818145483
model,0,0,0.0277152631247439,0.027715263124756816,RC.adj.isl.lg.08,0.11391594610578479,0.1539539702036064,1.0,0.7378289679988903,0.8456065686676101,0.6302665833469896,0.2627377255720784,0.6314612791486152,0.26139458818145483
model,0,0,0.0277152631247439,0.027715263124756816,RC.adj.isl.sh.01,0.7378289679988903,0.5437539860951065,1.0,0.7378289679988903,0.8456065686676101,0.6302665833469896,0.2627377255720784,0.6314612791486152,0.26139458818145483
model,0,0,0.0277152631247439,0.027715263124756816,RC.adj.isl.sh.02,0.7378289679988903,0.5326440552738915,1.0,0.7378289679988903,0.8456065686676101,0.6302665833469896,0.2627377255720784,0.6314612791486152,0.26139458818145483
model,0,0,0.0277152631247439,0.027715263124756816,RC.adj.isl.sh.03,0.7378289679988903,0.2773178610664685,1.0,0.7378289679988903,0.8456065686676101,0.6302665833469896,0.2627377255720784,0.6314612791486152,0.26139458818145483
model,0,0,0.0277152631247439,0.027715263124756816,RC.adj.isl.sh.04,0.2627377255720784,0.2626070592854607,1.0,0.7378289679988903,0.8456065686676101,0.6302665833469896,0.2627377255720784,0.6314612791486152,0.26139458818145483
model,0,0,0.0277152631247439,0.027715263124756816,RC.adj.isl.sh.05,0.7378289679988903,0.4856823389006227,1.0,0.7378289679988903,0.8456065686676101,0.6302665833469896,0.2627377255720784,0.6314612791486152,0.26139458818145483
model,0,0,0.0277152631247439,0.027715263124756816,RC.adj.isl.sh.06,0.7378289679988903,0.5724239898340434,1.0,0.7378289679988903,0.8456065686676101,0.6302665833469896,0.2627377255720784,0.6314612791486152,0.26139458818145483
model,0,0,0.0277152631247439,0.027715263124756816,RC.adj.isl.sh.07,0.7378289679988903,0.2334536327591912,1.0,0.7378289679988903,0.8456065686676101,0.6302665833469896,0.2627377255720784,0.6314612791486152,0.26139458818145483
model,0,0,0.0277152631247439,0.027715263124756816,RC.adj.isl.sh.08,0.7378289679988903,0.5830475112340401,1.0,0.7378289679988903,0.8456065686676101,0.6302665833469896,0.2627377255720784,0.6314612791486152,0.26139458818145483
model,0,0,0.0277152631247439,0.027715263124756816,RC.adj.non.lg.01,0.5449644613821829,0.5330959583510178,1.0,0.7378289679988903,0.8456065686676101,0.6302665833469896,0.2627377255720784,0.6314612791486152,0.26139458818145483
model,0,0,0.0277152631247439,0.027715263124756816,RC.adj.non.lg.02,0.5449644613821829,0.3755308337292264,1.0,0.7378289679988903,0.8456065686676101,0.6302665833469896,0.2627377255720784,0.6314612791486152,0.26139458818145483
model,0,0,0.0277152631247439,0.027715263124756816,RC.adj.non.lg.03,0.5449644613821829,0.5117726637374566,1.0,0.7378289679988903,0.8456065686676101,0.6302665833469896,0.2627377255720784,0.6314612791486152,0.26139458818145483
