item,zscores,sent,tree,score
RC.adj.isl.lg.01,-0.6898937175714286,I called the client who the secretary worries if the lawyer insults.,(C-mat-decl (T-past (lv-tr (I) (call (the (secretary (C-rel (T-pres (lv-tr (the (secretary)) (worry (if (T-pres (lv-tr (the (lawyer)) (insult (who))))))))))))))),0.2239563498593211
RC.adj.isl.lg.02,-1.0671034731428573,I sympathize with the parents who the reverand sighs if the bride and groom neglect to thank.,(C-mat-decl (T-pres (lv-tr (I) (sympathize (with (the (parents (C-rel (T-pres (lv-tr (the (reverand)) (sigh (if (T-pres (lv-tr (the (bride_and_groom)) (neglect (to-inf (lv-tr (PRO) (thank (who))))))))))))))))))),0.07973023375290292
RC.adj.isl.lg.03,-0.9366710437692307,I talked to the famous actor who the news reporter coughs if the tourists photograph.,(C-mat-decl (T-past (lv-tr (I) (talk (to (the (famous_actor (C-rel (T-pres (lv-tr (the (news_reporter)) (cough (if (T-pres (lv-tr (the (tourists)) (photograph (who)))))))))))))))),0.12960106138933356
RC.adj.isl.lg.04,-0.5361019501428572,I met the famous artist who the parents blush if the child prodigy imitates.,(C-mat-decl (T-past (lv-tr (I) (meet (the (famous_artist (C-rel (T-pres (lv-tr (the (parents)) (blush (if (T-pres (lv-tr (the (child_prodigy)) (imitate (who))))))))))))))),0.28275861829949733
RC.adj.isl.lg.05,-0.9177892012857143,I served the child who the other customer winks if the young couple play with at the restaurant.,(C-mat-decl (T-past (lv-tr (I) (serve (the (child (C-rel (T-pres (lv-tr (the (other_customer)) (wink (if (T-pres (lv-tr (the (young_couple)) (play (with (who)) (at (the (restaurant))))))))))))))))),0.13682053216416898
RC.adj.isl.lg.06,-0.9896732522857142,I spoke with the college president who the professor faints if the students publicly criticize.,(C-mat-decl (T-past (lv-tr (I) (speak (with (the (college_president (C-rel (T-pres (lv-tr (the (professor)) (faint (if (T-pres (lv-tr (the (students)) (criticize (publicly) (who)))))))))))))))),0.10933567173148998
RC.adj.isl.lg.07,-0.9925092493076924,I interviewed the executive who the employee laughs if the office manager blackmails.,(C-mat-decl (T-past (lv-tr (I) (interview (the (executive (C-rel (T-pres (lv-tr (the (employee)) (laugh (if (T-pres (lv-tr (the (office_manager)) (blackmail (who))))))))))))))),0.10825132852528194
RC.adj.isl.lg.08,-0.8729783157857143,I emailed the congressman who the teacher smiles if her students write letters to.,(C-mat-decl (T-past (lv-tr (I) (email (the (congressman (C-rel (T-pres (lv-tr (the (teacher)) (smile (if (T-pres (lv-tr (her (students)) (write-dobj-pobj (D-e (letters)) (to (who)))))))))))))))),0.1539539702036064
RC.adj.isl.sh.01,0.14650673092857142,I called the secretary who worries if the lawyer insults the client.,(C-mat-decl (T-past (lv-tr (I) (call (the (secretary (C-rel (T-pres (lv-tr (who) (worry (if (T-pres (lv-tr (the (lawyer)) (insult (the (client)))))))))))))))),0.5437539860951065
RC.adj.isl.sh.02,0.11744975842857144,I sympathize with the reverand who sighs if the bride and groom neglect to thank their parents.,(C-mat-decl (T-pres (lv-tr (I) (sympathize (with (the (reverand (C-rel (T-pres (lv-tr (who) (sigh (if (T-pres (lv-tr (the (bride_and_groom)) (neglect (to-inf (lv-tr (PRO) (thank (their (parents)))))))))))))))))))),0.5326440552738915
